a b c d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
a c b d 
e f 
